Texto,Archivo de Audio
"Hola, ¿como estas?",hola_como_estas.wav
El clima está soleado hoy.,Elclima_soleado.wav
Me encanta programar en Python.,programar_python.wav
"Hola, ¿cómo estás?",hola_como_estas.wav
"El clima está soleado hoy.",clima_soleado.wav
"Me encanta programar en Python.",programar_python.wav
"Las estrellas brillan en el cielo nocturno.",estrellas_brillan.wav
"Una taza de té puede ser muy reconfortante.",taza_de_te.wav
"El chocolate es un dulce placer.",chocolate_dulce.wav
"El bosque tiene una atmósfera tranquila.",bosque_tranquilo.wav
"Las montañas ofrecen vistas impresionantes.",vistas_montanas.wav
"La tecnología avanza a un ritmo rápido.",avances_tecnologia.wav
"Leer un buen libro es una gran forma de escapismo.",leer_libro.wav
"Un paseo por la playa es muy relajante.",paseo_playa.wav
"La meditación puede ayudar a reducir el estrés.",meditacion_reduccion.wav
"Las ciudades históricas tienen mucho que ofrecer.",ciudades_historicas.wav
"Una comida casera es siempre una delicia.",comida_casera.wav
"Ver una puesta de sol es una experiencia hermosa.",puesta_sol.wav
"El arte y la cultura enriquecen nuestras vidas.",arte_cultura.wav
"Escuchar a la naturaleza es muy revitalizante.",escuchar_naturaleza.wav
"El verano es una estación llena de energía.",verano_energia.wav
"Los videojuegos pueden ser una forma divertida de pasar el tiempo.",videojuegos_diversion.wav
"Un buen café puede mejorar tu día.",buen_cafe.wav


